Name,Integer notation
Acoustic scale,"(0,2,4,6,7,9,10)"
Aeolian mode or natural minor scale,"(0,2,3,5,7,8,10)"
Algerian scale,"(0,2,3,6,7,9,11)"
Altered scale or Super Locrian scale,"(0,1,3,4,6,8,10)"
Augmented scale,"(0,3,4,7,8,11)"
Bebop dominant scale,"(0,2,4,5,7,9,10,11)"
Blues scale,"(0,3,5,6,7,10)"
Chromatic scale,"(0,1,2,3,4,5,6,7,8,9,10,11)"
Dorian mode,"(0,2,3,5,7,9,10)"
Double harmonic scale,"(0,1,4,5,7,8,10)"
Enigmatic scale,"(0,1,4,6,8,10,11)"
Flamenco mode,"(0,1,4,5,7,8,11)"
Gypsy scale,"(0,2,3,6,7,8,10)"
Half diminished scale,"(0,2,3,5,6,8,10)"
Harmonic major scale,"(0,2,4,5,7,8,11)"
Harmonic minor scale,"(0,2,3,5,7,8,11)"
Hirajoshi scale,"(0,4,6,7,11)"
Hungarian minor scale,"(0,2,3,6,7,8,11)"
Hungarian major scale,"(0,3,4,6,7,9,10)"
In scale,"(0,1,5,7,8)"
Insen scale,"(0,1,5,7,10)"
Ionian mode or major scale,"(0,2,4,5,7,9,11)"
Istrian scale,"(0,1,3,4,6,7)"
Iwato scale,"(0,1,5,6,10)"
Locrian mode,"(0,1,3,5,6,8,10)"
Lydian augmented scale,"(0,2,4,6,8,9,11)"
Lydian mode,"(0,2,4,6,7,9,11)"
Major bebop scale,"(0,2,4,5,7,8,9,11)"
Major Locrian scale,"(0,2,4,5,6,8,10)"
Major pentatonic scale,"(0,2,4,7,9)"
Melodic minor scale,"(0,2,3,5,7,9,11)"
Melodic minor scale (ascending),"(0,2,3,5,7,9,11)"
Minor pentatonic scale,"(0,3,5,7,10)"
Mixolydian mode or Adonai malakh mode,"(0,2,4,5,7,9,10)"
Neapolitan major scale,"(0,1,3,5,7,9,11)"
Neapolitan minor scale,"(0,1,3,5,7,8,11)"
Persian scale,"(0,1,4,5,6,8,11)"
Phrygian dominant scale,"(0,1,4,5,7,8,10)"
Phrygian mode,"(0,1,3,5,7,8,10)"
Prometheus scale,"(0,2,4,6,9,10)"
Scale of harmonics,"(0,3,4,5,7,9)"
Tritone scale,"(0,1,4,6,7,10)"
Two-semitone tritone scale,"(0,1,2,6,7,8)"
Ukrainian Dorian scale,"(0,2,3,6,7,9,10)"
Whole tone scale,"(0,2,4,6,8,10)"
Yo scale,"(0,3,5,7,10)"
